n_all,n_strata,RR_star_lower,RR_star_upper,response,RR_stratum_1,RR_stratum_2,RR_stratum_3,haplo_freq_most_common_allele_stratum_1,alpha,n_triads_per_stratum,haplo_freq_most_common_allele_stratum_2,haplo_freq_most_common_allele_stratum_3,RR.power_Haplotype_2
2,3,1,1,mult,3,1,0.3333333333333333,0.85,0.05,100,0.85,0.85,1
2,3,1,1,mult,3,1,0.3333333333333333,0.9,0.05,100,0.9,0.9,0.98
2,3,1,1,mult,3,1,0.3333333333333333,0.95,0.05,100,0.95,0.95,0.8
2,3,1,1,mult,3,1,0.3333333333333333,0.6,5e-5,100,0.6,0.6,1
2,3,1,1,mult,3,1,0.3333333333333333,0.65,5e-5,100,0.65,0.65,0.99
2,3,1,1,mult,3,1,0.3333333333333333,0.7,5e-5,100,0.7,0.7,0.99
2,3,1,1,mult,3,1,0.3333333333333333,0.75,5e-5,100,0.75,0.75,0.97
2,3,1,1,mult,3,1,0.3333333333333333,0.8,5e-5,100,0.8,0.8,0.92
2,3,1,1,mult,3,1,0.3333333333333333,0.85,5e-5,100,0.85,0.85,0.78
2,3,1,1,mult,3,1,0.3333333333333333,0.9,5e-5,100,0.9,0.9,0.48
2,3,1,1,mult,3,1,0.3333333333333333,0.95,5e-5,100,0.95,0.95,0.11
2,3,1,1,mult,3,1,0.3333333333333333,0.6,5e-6,100,0.6,0.6,0.99
2,3,1,1,mult,3,1,0.3333333333333333,0.65,5e-6,100,0.65,0.65,0.98
2,3,1,1,mult,3,1,0.3333333333333333,0.7,5e-6,100,0.7,0.7,0.96
2,3,1,1,mult,3,1,0.3333333333333333,0.75,5e-6,100,0.75,0.75,0.91
2,3,1,1,mult,3,1,0.3333333333333333,0.8,5e-6,100,0.8,0.8,0.81
2,3,1,1,mult,3,1,0.3333333333333333,0.85,5e-6,100,0.85,0.85,0.6
2,3,1,1,mult,3,1,0.3333333333333333,0.9,5e-6,100,0.9,0.9,0.29
2,3,1,1,mult,3,1,0.3333333333333333,0.95,5e-6,100,0.95,0.95,0.04
2,3,1,1,mult,3,1,0.3333333333333333,0.6,5.000000000000001e-7,100,0.6,0.6,0.96
2,3,1,1,mult,3,1,0.3333333333333333,0.65,5.000000000000001e-7,100,0.65,0.65,0.94
2,3,1,1,mult,3,1,0.3333333333333333,0.7,5.000000000000001e-7,100,0.7,0.7,0.9
2,3,1,1,mult,3,1,0.3333333333333333,0.75,5.000000000000001e-7,100,0.75,0.75,0.82
2,3,1,1,mult,3,1,0.3333333333333333,0.8,5.000000000000001e-7,100,0.8,0.8,0.67
2,3,1,1,mult,3,1,0.3333333333333333,0.85,5.000000000000001e-7,100,0.85,0.85,0.43
2,3,1,1,mult,3,1,0.3333333333333333,0.9,5.000000000000001e-7,100,0.9,0.9,0.16
2,3,1,1,mult,3,1,0.3333333333333333,0.95,5.000000000000001e-7,100,0.95,0.95,0.02
2,3,1,1,mult,3,1,0.3333333333333333,0.6,5e-8,100,0.6,0.6,0.91
2,3,1,1,mult,3,1,0.3333333333333333,0.65,5e-8,100,0.65,0.65,0.87
2,3,1,1,mult,3,1,0.3333333333333333,0.7,5e-8,100,0.7,0.7,0.81
2,3,1,1,mult,3,1,0.3333333333333333,0.75,5e-8,100,0.75,0.75,0.69
2,3,1,1,mult,3,1,0.3333333333333333,0.8,5e-8,100,0.8,0.8,0.51
